date,rating,create,care,talk,move,work,read,write
8/31/20,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
9/1/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
9/2/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
9/3/20,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
9/4/20,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
9/5/20,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
9/6/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
9/7/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
9/8/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
9/9/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
9/10/20,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
9/11/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
9/12/20,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
9/13/20,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
9/14/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
9/15/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
9/16/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
9/17/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
9/18/20,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
9/19/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
9/20/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
9/21/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
9/22/20,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
9/23/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
9/24/20,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
9/25/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
9/26/20,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
9/27/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
9/28/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
9/29/20,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
9/30/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
10/1/20,5,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/2/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/3/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
10/4/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/5/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
10/6/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/7/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/8/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
10/9/20,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
10/10/20,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
10/11/20,4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
10/12/20,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
10/13/20,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
10/14/20,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,
10/15/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
10/16/20,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
10/17/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
10/18/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/19/20,5,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/20/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/21/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
10/22/20,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
10/23/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/24/20,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
10/25/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
10/26/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/27/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
10/28/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/29/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
10/30/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
10/31/20,4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,
11/1/20,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
11/2/20,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
11/3/20,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
11/4/20,5,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
11/5/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
11/6/20,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
11/7/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
11/8/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
11/9/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
11/10/20,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
11/11/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
11/12/20,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
11/13/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
11/14/20,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
11/15/20,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
11/16/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
11/17/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
11/18/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
11/19/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
11/20/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
11/21/20,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
11/22/20,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
11/23/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
11/24/20,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
11/25/20,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
11/26/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
